valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-12-06 07:00:00+00:00,26.6,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,31
2025-12-06 08:00:00+00:00,27.3,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,32
2025-12-06 09:00:00+00:00,27.5,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,33
2025-12-06 10:00:00+00:00,27.5,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,34
2025-12-06 11:00:00+00:00,26.9,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,35
2025-12-06 12:00:00+00:00,24.4,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,36
2025-12-06 13:00:00+00:00,23.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,37
2025-12-06 14:00:00+00:00,22.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,38
2025-12-06 15:00:00+00:00,20.6,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,39
2025-12-06 16:00:00+00:00,19.4,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,40
2025-12-06 17:00:00+00:00,18.9,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,41
2025-12-06 18:00:00+00:00,18.5,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,42
2025-12-06 19:00:00+00:00,18.0,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,43
2025-12-06 20:00:00+00:00,17.8,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,44
2025-12-06 21:00:00+00:00,17.5,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,45
2025-12-06 22:00:00+00:00,17.3,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,46
2025-12-06 23:00:00+00:00,17.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,47
2025-12-07 00:00:00+00:00,17.0,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,48
2025-12-07 01:00:00+00:00,17.0,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,49
2025-12-07 02:00:00+00:00,18.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,50
2025-12-07 03:00:00+00:00,20.2,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,51
2025-12-07 04:00:00+00:00,22.6,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,52
2025-12-07 05:00:00+00:00,24.6,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,53
2025-12-07 06:00:00+00:00,25.9,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,54
2025-12-07 07:00:00+00:00,27.3,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,7
2025-12-07 08:00:00+00:00,28.1,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,8
2025-12-07 09:00:00+00:00,28.5,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,9
2025-12-07 10:00:00+00:00,28.4,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,10
2025-12-07 11:00:00+00:00,27.7,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,11
2025-12-07 12:00:00+00:00,24.7,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,12
2025-12-07 13:00:00+00:00,23.2,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,13
2025-12-07 14:00:00+00:00,22.2,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,14
2025-12-07 15:00:00+00:00,20.6,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,15
2025-12-07 16:00:00+00:00,19.3,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,16
2025-12-07 17:00:00+00:00,18.1,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,17
2025-12-07 18:00:00+00:00,17.2,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,18
2025-12-07 19:00:00+00:00,16.5,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,19
2025-12-07 20:00:00+00:00,16.1,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,20
2025-12-07 21:00:00+00:00,15.9,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,21
2025-12-07 22:00:00+00:00,15.7,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,22
2025-12-07 23:00:00+00:00,15.1,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,23
2025-12-08 00:00:00+00:00,14.5,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,24
2025-12-08 01:00:00+00:00,13.8,2025-12-07 06:00:00+00:00,2025-12-07 00:00:00+00:00,25
